listing,price,brand,size
ALO Yoga Crossbody Bag with Ornate Design,43.0,ALO Yoga,OS
❤️New GUCCI  Bag❤️,460.0,,OS
Baggallini black crossbody,18.0,Baggallini,OS
Sacred Heart Lancel,60.0,lancel,OS
Vintage beaded evening back clutch,36.0,,OS
GUCCI  GG Crystal Monogram Fringe Babouska Hobo Shoulder Bag,799.0,Gucci,"16.7 x 14.7 x 2.4"" strap drop 10"" approx"
"Cat Crossbody bag
          
      NWT",40.0,Source Unknown,OS
"Chic Red Tote Womens with Adjustable Strap Zip Closure & Tassel Shoulder Bag
          
      Boutique",48.0,,OS
Kelly & Katie Rose Gold Pink Clutch Wristlet Chain Shoulder Bag Crossbody Purse,9.0,Kelly & Katie,OS
"NWT Michael Kors Shoulder Bag Set
          
      NWT",228.0,Michael Kors,OS
Michael Kors Charlotte Medium 2-in-1 Saffiano Leather & Logo Tote Bag in Poppy,279.0,Michael Kors,OS
Vintage Meyers Ostrich Frame Kisslock Handbag,100.0,,OS
"Brandon Blackwood mini leopard Kendrick trunk
          
      NWT",490.0,Brandon Blackwood,Mini
"Michael Kors Sheila Medium Ombré Signature Logo Satchel Black Multi
          
      NWT",223.0,Michael Kors,Medium
Coach Porch Blue Double Zip Wallet,65.0,Coach,OS
Vintage Michael kors red pouch see pics,25.0,MICHAEL Michael Kors,OS
New Dior Bag,475.0,,OS
GiGi New York Navy Blue Crossbody adjust Handbag,45.0,GiGi New York,Medium
Vintage Gold Mesh Clutch Makeup‎ Pouch Coin Bag Duramesh Fifth Avenue Art Deco,17.0,& Other Stories,OS
Free People En Riva Raffia Tote,85.0,Free People,one size
Fossil Leather Shoulder Bag Bohemian,40.0,Fossil,OS
"🆕💚 Lululemon Everywhere Belt Bag Cactus Leather Alternative - Barack Green
          
      NWT",100.0,lululemon athletica,OS
Cream Floral Women's Backpack,25.0,madden nyc,OS
"NWT Ah•Dorned Vegan Tan Sling Bag with Patterned Strap
          
      NWT",60.0,ah dorned,8” L x 3” W x 10” H
PINK Victoria’s Secret Pink Fanny‎ Pack Adjustable,14.0,PINK Victoria's Secret,OS
Michael Kors Black Gold Logo Pebble Leather Clutch Wristlet Zip Bag,38.0,Michael Kors,OS
Luxy Black Crochet and Leather Shoulder Bag,22.0,LUXY,OS
3D lady clutch,9.0,,OS
Vintage Dooney & Bourke Brown Pebbled Leather Satchel Crossbody - 9.5”x8”x3.5”,65.0,Dooney & Bourke,OS
"KATE SPADE RIVERSIDE STREET EMMIE CROSSBODY BAG
          
      NWT",210.0,kate spade,OS
Fendi 2 way bag,399.0,Fendi,Widths 261/2 x Length 21x Depth 10 Centimeters
"Jonathan Adler Cotton Pouch Bag
          
      NWT",25.0,Jonathan Adler,OS
"NWT IN PKG WILDFOX Parachute Nylon Backpack w/Change Purse Light Blue
          
      NWT",67.0,Wildfox,OS
Burberry nova check shoulder bag,599.0,Burberry,OS
BALLY Shoulder Bag Leather Black Gold Auth 123425,662.0,Bally,Size(Inch)	W13.8 x H11.0 x D3.9inch
Kate Spade Black Leather Wristlet,32.0,kate spade,OS
